"[A]시도별","시도별","[B]사육규모별","사육규모별","[Item]항목","항목","단위","2016. 1/4","2015. 4/4","2015. 3/4","2015. 2/4","2015. 1/4","2014. 4/4","2014. 3/4","2014. 2/4","2014. 1/4","2013. 4/4","2013. 3/4","2013. 2/4","2013. 1/4","2012. 4/4","2012. 3/4","2012. 2/4","2012. 1/4","2011. 4/4","2011. 3/4","2011. 2/4","2011. 1/4",
"33","충청북도","15","5,000~10,000","T01","가구수","","21","18","20","18","18","19","18","15","14","20","22","19","20","16","17","18","12","11","12","5","9",
"33","충청북도","15","5,000~10,000","T02","마리수","","127473","115224","130459","114787","117668","114338","112212","100384","92003","133547","148470","127913","128651","106733","114228","113613","80935","66794","81965","30890","54098",
"33","충청북도","20","10,000 이상","T01","가구수","","8","8","8","8","8","8","8","8","8","8","8","8","8","9","9","8","7","5","2","2","1",
"33","충청북도","20","10,000 이상","T02","마리수","","146975","143917","146726","141790","141104","126713","125908","127415","122456","137245","149103","151864","145973","143823","148950","128177","103090","69231","22543","21739","10653",
"34","충청남도","00","합계","T01","가구수","","897","915","899","889","872","903","879","906","913","921","973","999","1058","1044","1080","1086","1069","1163","1121","1119","1039",
"34","충청남도","00","합계","T02","마리수","","2155337","2148996","2132491","2058903","2037112","2047758","2006478","1912035","1948898","1963512","1994603","1998027","2006444","1999424","1949038","1995126","1932857","1842342","1751182","1623510","1552125",
"34","충청남도","05","1,000 미만","T01","가구수","","342","358","352","348","357","359","311","360","383","370","431","454","476","470","517","536","501","542","553","565","551",
"34","충청남도","05","1,000 미만","T02","마리수","","171766","189385","182722","160055","182114","183120","143587","165660","198984","161558","165570","172553","157325","172365","176306","212338","205717","150558","184715","178888","186240",
"34","충청남도","10","1,000~5,000","T01","가구수","","464","466","456","457","426","460","484","465","456","473","462","469","501","496","487","474","502","554","515","507","440",
"34","충청남도","10","1,000~5,000","T02","마리수","","1065292","1054331","1023817","1019003","965409","1020262","1019250","963802","987441","1001795","995134","1034156","1065380","1041431","1011827","992423","1034703","1071471","1051415","1001193","911414",
"34","충청남도","15","5,000~10,000","T01","가구수","","59","63","63","55","61","59","60","58","49","52","54","48","56","54","52","50","42","46","34","32","34",
"34","충청남도","15","5,000~10,000","T02","마리수","","391421","421628","429250","371427","411851","398600","407908","376021","319664","339400","359416","317663","359299","356551","346589","313245","275100","283994","217276","205870","230213",
"34","충청남도","20","10,000 이상","T01","가구수","","32","28","28","29","28","25","24","23","25","26","26","28","25","24","24","26","24","21","19","15","14",
"34","충청남도","20","10,000 이상","T02","마리수","","526858","483652","496702","508418","477738","445776","435733","406552","442809","460759","474483","473655","424440","429077","414316","477120","417337","336319","297776","237559","224258",
"35","전라북도","00","합계","T01","가구수","","537","507","512","514","520","564","553","558","582","621","616","620","682","682","727","704","710","699","724","733","743",
"35","전라북도","00","합계","T02","마리수","","1227626","1215603","1218791","1189773","1166968","1178266","1121251","1133874","1128385","1151406","1189391","1166936","1214978","1224632","1239542","1206631","1190343","1160169","1182891","1174695","1155201",
"35","전라북도","05","1,000 미만","T01","가구수","","204","168","171","176","211","237","234","235","249","290","278","290","329","331","372","358","377","384","401","411","405",
"35","전라북도","05","1,000 미만","T02","마리수","","118541","94444","92918","90574","104620","111868","100506","115259","111639","124673","133581","132683","137581","155729","160420","158805","165352","177350","187267","186671","157545",
"35","전라북도","10","1,000~5,000","T01","가구수","","280","286","283","286","255","276","272","277","286","284","293","288","310","305","311","301","291","273","282","278","295",
"35","전라북도","10","1,000~5,000","T02","마리수","","629240","629100","607686","620796","574996","597025","583064","592784","590262","591348","616988","606667","655055","626932","643644","617959","620654","591136","601409","582416","598447",
"35","전라북도","15","5,000~10,000","T01","가구수","","36","38","41","34","37","35","32","31","32","33","28","24","28","30","27","27","25","26","24","29","27",
"35","전라북도","15","5,000~10,000","T02","마리수","","236819","258220","265580","222202","241667","230248","216310","207082","209063","216460","185569","158191","189562","197356","179351","174276","165427","168488","155939","194273","176374",
"35","전라북도","20","10,000 이상","T01","가구수","","17","15","17","18","17","16","15","15","15","14","17","18","15","16","17","18","17","16","17","15","16",
"35","전라북도","20","10,000 이상","T02","마리수","","243026","233839","252607","256201","245685","239125","221371","218749","217421","218925","253253","269395","232780","244615","256127","255591","238910","223195","238276","211335","222835",
"36","전라남도","00","합계","T01","가구수","","663","716","748","782","766","834","814","879","895","914","997","1043","1091","1037","1200","1252","1199","1237","1231","1198","1187",
"36","전라남도","00","합계","T02","마리수","","1132766","1088232","1097140","1081114","1087170","1060461","996891","992370","969511","993767","1029379","1030425","985066","994858","1006599","969981","928355","887677","883714","862660","848036",
"36","전라남도","05","1,000 미만","T01","가구수","","281","391","443","506","453","526","553","603","643","615","697","774","799","740","879","933","877","923","924","913","913",
"36","전라남도","05","1,000 미만","T02","마리수","","85246","137878","162603","200875","165689","167252","181897","184050","169752","150802","158852","196641","159002","167793","149833","145553","113879","112818","116997","130599","141348",
"36","전라남도","10","1,000~5,000","T01","가구수","","345","289","274","245","280","277","234","250","225","274","273","242","266","274","296","296","300","294","286","265","253",
"36","전라남도","10","1,000~5,000","T02","마리수","","642145","575240","580070","538323","575127","569659","527113","530912","492628","558005","561028","522943","541176","561715","579551","584586","585591","566790","555482","528247","501388",
"36","전라남도","15","5,000~10,000","T01","가구수","","29","30","25","24","27","26","22","21","22","21","20","20","22","19","20","18","18","16","17","16","17",
"36","전라남도","15","5,000~10,000","T02","마리수","","194413","196374","173200","155758","175621","172733","146081","143444","149036","144199","133587","134662","151958","136040","141418","121769","123576","107896","111515","110086","111738",
"36","전라남도","20","10,000 이상","T01","가구수","","8","6","6","7","6","5","5","5","5","4","7","7","4","4","5","5","4","4","4","4","4",
"36","전라남도","20","10,000 이상","T02","마리수","","210962","178740","181267","186158","170733","150817","141800","133964","158095","140761","175912","176179","132930","129310","135797","118073","105309","100173","99720","93728","93562",
"37","경상북도","00","합계","T01","가구수","","445","482","504","489","490","501","515","519","530","540","560","553","570","558","572","570","570","553","557","591","618",
"37","경상북도","00","합계","T02","마리수","","1232831","1201562","1222462","1180083","1218200","1253721","1262307","1220922","1214022","1226397","1262470","1274169","1259896","1198973","1163549","1094395","1019302","954149","944929","944590","946288",
